,Employee_No,Late_minutes,Early_minutes,isLate,isEarly,isHoliday,isOT,holiday_hours,OT_hours,Working_Time,count,project_code,isLate%,isEarly%,isHoliday%
138,671,926.8333333333333,472.18333333333334,30,54,0,4,0.0,207.22027777777777,1236.9019444444446,122,195.0,0.2459016393442623,0.4426229508196721,0.0
139,673,3859.4166666666665,10631.216666666667,169,285,8,6,88.145,854.4730555555556,5099.92,488,193.0,0.3463114754098361,0.5840163934426229,0.01639344262295082
140,677,10.0,0.0,1,0,0,0,0.0,2.333333333333334,101.33333333333333,11,169.0,0.09090909090909091,0.0,0.0
141,679,0.0,0.0,0,0,0,0,0.0,5.666666666666666,23.666666666666664,2,182.0,0.0,0.0,0.0
142,682,0.0,607.8333333333334,0,31,0,0,0.0,51.175000000000004,349.30555555555554,32,169.0,0.0,0.96875,0.0
143,688,40.28333333333333,1428.8666666666668,3,59,0,0,0.0,16.779722222222222,602.3733333333333,63,189.0,0.047619047619047616,0.9365079365079365,0.0
144,690,14.683333333333334,8303.75,3,249,5,12,59.61083333333333,884.9852777777778,3322.3811111111113,279,196.0,0.010752688172043012,0.8924731182795699,0.017921146953405017
145,694,1550.5,2005.2833333333333,72,212,0,0,0.0,2.9911111111111155,2445.466388888889,286,179.1,0.2517482517482518,0.7412587412587412,0.0
146,696,60.0,752.0,1,18,0,0,0.0,53.833333333333336,254.2,22,193.0,0.045454545454545456,0.8181818181818182,0.0
147,697,314.96666666666664,746.5833333333334,57,24,0,5,0.0,136.68583333333333,948.5894444444444,94,169.0,0.6063829787234043,0.2553191489361702,0.0
148,698,0.0,17242.05,0,314,38,0,371.4,411.46527777777777,6428.332777777778,637,169.0,0.0,0.49293563579277866,0.059654631083202514
149,699,8046.7,1100.4833333333333,423,101,11,24,94.11583333333333,713.7047222222222,5128.245,550,179.1,0.769090909090909,0.18363636363636363,0.02
150,700,50.0,0.0,1,0,40,574,512.0,7402.493888888889,7410.743888888889,575,169.0,0.0017391304347826088,0.0,0.06956521739130435
151,701,532.2666666666667,3809.5666666666666,62,190,4,1,39.69388888888889,297.46805555555557,2798.8783333333336,273,169.0,0.2271062271062271,0.6959706959706959,0.014652014652014652
152,703,0.0,0.0,0,0,0,6,0.0,84.0,84.0,6,169.0,0.0,0.0,0.0
153,705,90.21666666666667,359.01666666666665,12,17,0,3,0.0,50.111111111111114,308.1672222222222,32,169.0,0.375,0.53125,0.0
154,707,6.833333333333333,178.61666666666667,2,2,0,0,0.0,13.51527777777778,52.492222222222225,4,169.0,0.5,0.5,0.0
155,708,420.0,24234.4,1,215,8,24,109.10277777777777,1352.8216666666667,3589.3116666666665,241,179.1,0.004149377593360996,0.8921161825726142,0.03319502074688797
156,709,1066.7833333333333,1556.7,82,147,0,0,0.0,36.23694444444446,2028.2911111111111,236,179.1,0.3474576271186441,0.6228813559322034,0.0
157,712,12114.966666666667,882.0833333333334,185,41,1,15,9.043333333333333,204.6902777777778,2160.5758333333333,262,1.0,0.7061068702290076,0.15648854961832062,0.003816793893129771
158,713,5553.283333333333,2012.1,337,127,2,0,18.409444444444446,234.0975,4199.308333333333,470,198.1,0.7170212765957447,0.2702127659574468,0.00425531914893617
159,715,2511.05,544.0666666666667,131,53,2,0,8.370000000000001,159.01194444444442,1744.4161111111111,188,179.2,0.6968085106382979,0.28191489361702127,0.010638297872340425
160,717,953.0166666666667,3961.7833333333333,83,301,1,2,9.087222222222222,26.429722222222228,3324.6675,390,179.1,0.2128205128205128,0.7717948717948718,0.002564102564102564
161,718,4982.916666666667,1278.9333333333334,223,125,3,4,29.034999999999997,151.22722222222222,3090.7077777777777,360,179.1,0.6194444444444445,0.3472222222222222,0.008333333333333333
162,719,0.0,436.0,0,9,0,0,0.0,28.583333333333336,125.85,10,169.0,0.0,0.9,0.0
163,724,878.8666666666667,53.666666666666664,36,12,0,0,0.0,0.01250000000000143,387.4188888888889,48,179.1,0.75,0.25,0.0
164,727,0.0,602.1666666666666,0,28,1,3,1.4558333333333333,39.401944444444446,319.4213888888889,33,169.0,0.0,0.8484848484848485,0.030303030303030304
165,728,296.9666666666667,89.65,17,7,0,0,0.0,28.25916666666667,272.07,27,179.1,0.6296296296296297,0.25925925925925924,0.0
166,731,262.3833333333333,361.9666666666667,22,43,0,0,0.0,235.2275,835.2602777777778,66,187.0,0.3333333333333333,0.6515151515151515,0.0
167,734,0.0,141.73333333333332,0,15,0,0,0.0,23.739444444444445,161.10166666666666,15,187.0,0.0,1.0,0.0
168,735,54.666666666666664,686.6166666666667,1,23,5,2,53.0,268.005,1341.5269444444446,122,199.1,0.00819672131147541,0.1885245901639344,0.040983606557377046
169,736,68.43333333333334,20879.7,6,549,31,74,420.65777777777777,3838.7975,8921.7925,633,199.1,0.009478672985781991,0.8672985781990521,0.04897314375987362
170,738,126.38333333333334,2306.3,15,119,4,0,34.6325,60.026666666666664,1323.4788888888888,137,194.1,0.10948905109489052,0.8686131386861314,0.029197080291970802
171,739,19.216666666666665,2418.2166666666667,4,155,5,0,46.26222222222222,64.29472222222223,1545.3169444444445,161,194.1,0.024844720496894408,0.9627329192546584,0.031055900621118012
172,740,25.0,458.9166666666667,2,34,0,0,0.0,20.389166666666668,351.7711111111111,36,194.0,0.05555555555555555,0.9444444444444444,0.0
173,741,45.88333333333334,6858.2,7,323,16,0,150.79305555555555,248.92666666666668,3354.1086111111113,333,194.1,0.021021021021021023,0.96996996996997,0.04804804804804805
174,742,0.0,87.71666666666667,0,5,0,0,0.0,7.331111111111111,53.785,5,194.0,0.0,1.0,0.0
175,743,0.0,87.06666666666666,0,6,0,0,0.0,2.2449999999999983,53.68333333333333,6,194.0,0.0,1.0,0.0
176,747,266.43333333333334,17727.5,13,539,30,74,416.32444444444445,3940.261111111111,8987.719444444445,634,199.1,0.02050473186119874,0.8501577287066246,0.0473186119873817
177,749,2571.8,21255.283333333333,9,589,38,4,377.22194444444443,307.3261111111111,6310.544166666667,646,194.1,0.01393188854489164,0.9117647058823529,0.058823529411764705
178,754,0.0,75.0,0,2,5,0,58.5,495.96666666666664,2639.2166666666667,238,182.0,0.0,0.008403361344537815,0.02100840336134454
179,755,0.0,0.0,0,0,1,0,11.0,117.91666666666666,531.9166666666666,46,182.0,0.0,0.0,0.021739130434782608
